ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.685243823606035 0.7534473163278206 0.9264186173677444 0.913970203984768 2.9802322387695312e-08 -2.9802322387695312e-08 0.602541730131792 0.8093804162069752 0.5545176714658737 0.8931967359422637 0.7350642383098602 0.9116272693095 0.801269669085741 0.0023723244667053223 0.009975075721740723 0.0020667174879941863 0.14012607824341475 9.338258065680505e-05 0.8822177389393682 0.6348734498023987
1        0.6623899077578467 0.7257581221662006 0.9235868602991104 0.915198326884729 0.0             -2.9802322387695312e-08 0.5630376951398366 0.8144137114083128 0.49746209592558444 0.869875209417744 0.6826406717300415 0.9275865668849069 0.7833078317344189 0.002038717269897461 0.00047385692596435547 0.0016403902183694903 0.23222228550773363 0.0001544972350017635 0.8428804892666486 0.4905075132846832
2        0.6643004273374875 0.7629427390793959 0.938409686088562 0.8905947025470391 -2.9802322387695312e-08 -2.9802322387695312e-08 0.5820204702516397 0.8139337119351566 0.5413445420563221 0.8868184251324465 0.7086483240127563 0.9472289229432742 0.806021086871624 0.0032081007957458496 0.09370768070220947 0.004610348900717058 0.24120486358692114 0.00015449738234187877 0.8723366896311442 0.7218562960624695
3        0.6666632816195488 0.7255401276051998 0.8800321668386459 0.9033388612874697 2.9802322387695312e-08 -2.9802322387695312e-08 0.5722468665667942 0.8365655230453097 0.543780542910099 0.892623276415378 0.7371636778116226 0.9248059540987015 0.8010483123362064 0.017825961112976074 0.0005373358726501465 0.002299936813628134 0.26612450200059423 0.0001363210985200383 0.8629895661558423 0.7218562960624695
4        0.7011338566861501 0.7648418369453127 0.9234583824872971 0.9132577940588296 -2.9802322387695312e-08 0.0             0.5723656047499035 0.8106142554413953 0.5086949076503515 0.8630870612936974 0.6489498615264893 0.908856501666511 0.7900109849870205 0.003416717052459717 0.007880926132202148 0.004599293974725843 0.31592067727291673 0.00015449738234187877 0.8954633895943804 0.7218559384346008
5        0.6364613574666854 0.7610711654982505 0.9409590363502502 0.8971613851010242 -2.9802322387695312e-08 -2.9802322387695312e-08 0.5474130375406299 0.7925650666979434 0.4894246328622103 0.8476681779271047 0.6411275863647461 0.9390651631431702 0.7688977178186178 0.003726363182067871 0.00473862886428833 0.006741102278473008 0.22526663620328458 0.0001544972350017635 0.9161583017080258 0.7218562960624695
7        0.6850445700042388 0.7518013613846373 0.956634595990181 0.9213615463361707 -2.9802322387695312e-08 -2.9802322387695312e-08 0.5785573097493719 0.8105674833090416 0.4965613940730691 0.9089992545509145 0.7868668735027313 0.8879887404687264 0.7684123646467924 0.011417388916015625 0.0032492876052856445 0.0058925489193215694 0.27643252065406243 0.0001143405557927969 0.905252193703371 0.6614603996276855
8        0.6526468866504729 0.7265909251291305 0.8877407014369965 0.8879557728526264 0.0             -2.9802322387695312e-08 0.5528929532028997 0.8168684806241944 0.5008436889620498 0.824427018642873 0.6100978255271912 0.8970530307851732 0.7606963505968451 0.0076503753662109375 0.0006325840950012207 0.003999547766462805 0.3054073839942559 0.00015449767702253078 0.8453411585651338 0.27535372972488403
9        0.6433200544581331 0.714720486425634 0.9428721070289612 0.9228222530179154 -2.9802322387695312e-08 -2.9802322387695312e-08 0.5551514406527939 0.807951315450446 0.5059157563373446 0.8372346021083352 0.6284878551959991 0.918563991142758 0.7774573434144258 0.001323997974395752 0.0003333091735839844 0.0016504663138237595 0.2555627920754043 7.912966500230151e-05 0.8566514531086231 0.5309392213821411
10       0.80266273021698 0.8340601424376171 0.9299643486738205 0.9284743634478442 0.007676637172698952 0.007555335760116577 0.5682546871581248 0.8625423405635038 0.5135915018618107 0.8857594472113558 0.733757808804512 0.7682521864771843 0.7630627136677504 0.0028747916221618652 0.016554534435272217 0.0038312963430696336 0.18409720386775805 1.2335255589504047e-05 0.883660329239709 0.647601306438446
13       0.635665759909898 0.7573530452791601 0.9382809847593307 0.8900854609599702 -2.9802322387695312e-08 -2.9802322387695312e-08 0.546765611434239 0.7833552090128846 0.4938092464581132 0.8108916611359984 0.5753115937113762 0.9190469752065837 0.7508086048765108 0.006610512733459473 0.001976609230041504 0.00317655665030534 0.19259549839805706 0.00015449738234187877 0.8620983759562174 0.5634587407112122
14       0.7567492198376429 0.807574521572817 0.9485475271940231 0.9277229099479409 0.00552948061809988 0.0069337934255599976 0.527318796985561 0.8311050396961724 0.47555775567889214 0.8008973869758338 0.5896574556827545 0.7580400317729938 0.729305874556303 0.021336793899536133 0.020707368850708008 0.02855071292802097 0.31214396048186716 0.002811739601475682 0.9119320401833171 0.09168965369462967
